date,trips
2013-08-01,7623
2013-09-01,49647
2013-10-01,170008
2013-11-01,380974
2013-12-01,602559
2014-01-01,803852
2014-02-01,1005242
2014-03-01,1293471
2014-04-01,1309155
2014-05-01,1421503
2014-06-01,1337759
2014-07-01,1273973
2014-08-01,1344941
2014-09-01,1361893
2014-10-01,1491266
2014-11-01,1548159
2014-12-01,1645787
2015-01-01,1508501
2015-02-01,1574830
2015-03-01,1722574
2015-04-01,1664394
2015-05-01,1786848
2015-06-01,1638868
2015-07-01,1541671
2015-08-01,1532343
2015-09-01,1494926
2015-10-01,1630536
2015-11-01,1529984
2015-12-01,1608290
2016-01-01,1445285
2016-02-01,1510722
2016-03-01,1576393
2016-04-01,1543925
2016-05-01,1536979
2016-06-01,1404726
2016-07-01,1332510
2016-08-01,1247675
2016-09-01,1162373
2016-10-01,1252572
2016-11-01,1148214
2016-12-01,1224158
2017-01-01,1070261
2017-02-01,1023263
2017-03-01,1158638
2017-04-01,1081771
2017-05-01,1059463
2017-06-01,976467
